artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
Tommy Emmanuel,39Z8q6Be4hUWDIB5YX8KkA,Purple Haze,0.17800000000000002,0.44,244323,0.5660000000000001,0.292,4,0.0969,-8.642999999999999,0,0.0315,134.42600000000002,4,0.755,24
Jawga Boyz,3HsesHpkzCXmhdsYvyjwNu,Wanna Ride (Interlude),0.0039299999999999995,0.7290000000000001,80000,0.991,0.662,10,0.376,-8.138,0,0.281,191.88,4,0.767,20
Nightmares On Wax,0az6tHtzrlYYZEl4aqee1G,Citizen Kane (Rap Version) - Bonus Track,0.256,0.701,249721,0.652,0.000143,1,0.0583,-9.795,0,0.0801,139.783,4,0.542,30
Rivals,4exrqhE8pP3V95tPCdE25t,Misery Memory,0.000143,0.212,186627,0.905,1.29e-06,4,0.34,-5.114,0,0.0538,84.912,4,0.33899999999999997,23
Cavo,0K4G4wFVjFI5ZPlJdrujak,Wreck Me (Bonus Track),0.000755,0.633,196500,0.379,0.851,1,0.106,-17.495,1,0.0289,119.984,4,0.603,20
Moaning,36UfTbUIv0w10h3U81WluI,Close,3.54e-06,0.449,174507,0.885,0.669,2,0.149,-7.221,1,0.0404,127.104,4,0.5379999999999999,19
Odyssey,4OapsyvbyPVbDT9fy4nOSd,Hang Together,0.33,0.654,359840,0.7120000000000001,0.0607,4,0.062,-7.056,0,0.0444,114.264,4,0.9109999999999999,13
Oceans of Slumber,6tOFHoel4a932dzfe03GQ2,The Banished Heart,0.406,0.18600000000000003,545394,0.442,8.56e-05,7,0.168,-8.247,0,0.0445,70.801,4,0.0766,15
Legend Of The Seagullmen,7kfZsjQgEApwNuceCzJIp8,We Are the Seagullmen,0.000157,0.20600000000000002,197722,0.905,0.799,2,0.423,-7.877000000000001,1,0.128,142.371,4,0.102,14
GENTRI,3QO18Lt41mH0EZEgCC2xqr,"Be Still, My Soul",0.95,0.184,328435,0.08900000000000001,1.06e-05,7,0.135,-15.945,1,0.0336,173.22,3,0.0776,24
Gerald Ofori,4CS4EG3FF1W78AymsjaKM3,Timezones,0.6,0.342,258413,0.324,0.298,11,0.106,-14.674000000000001,0,0.124,84.32600000000001,4,0.0514,37
Waze & Odyssey,7BcPNyN95i8hnWN5JcyWtA,All Of Us - Original Mix,0.000136,0.8009999999999999,429634,0.982,0.91,0,0.0641,-8.255,1,0.0573,126.00399999999999,4,0.268,33
Joey Dosik,5sZWq1jDsZJFLbK1tuGBHI,… The Big Game,0.9690000000000001,0.20600000000000002,104470,0.0336,0.93,10,0.142,-29.413,1,0.0402,71.805,3,0.128,22
Terror Universal,7CUxXwfWUvM4MzMmsb4nyD,Passage of Pain,0.000295,0.519,236459,0.992,0.0015199999999999999,2,0.0963,-3.6180000000000003,1,0.13699999999999998,106.91,4,0.0379,29
Caspar Babypants,75hDfodyznOWEnFiys4QnY,Another Head Hits The Pillow,0.8340000000000001,0.6409999999999999,205693,0.195,0.00010800000000000001,8,0.08800000000000001,-16.955,0,0.0457,133.905,4,0.42700000000000005,28
Drew Jacobs,2gZkcSitE3GrNR6F6yn2fb,I'll Be,0.805,0.42700000000000005,266581,0.45299999999999996,0.0,10,0.102,-6.707000000000001,1,0.0267,135.976,3,0.401,21
Mikey A,1sTlUCZcOfysxmxKC6oFlV,Encontre Tu Amor (feat. Indiomar),0.311,0.684,213913,0.775,0.0,10,0.0658,-4.426,1,0.0959,184.02599999999998,4,0.958,23
Syzz,4rgHlyN1TfG9yCyekDNd0C,Fall Into My Love,0.009290000000000001,0.778,193091,0.8009999999999999,7.01e-06,8,0.152,-4.154,0,0.0377,110.01899999999999,4,0.38,27
Kareen Lomax,1bNL58Y6Wl1xhiiSLP0xYn,Been In Love,0.0474,0.652,220961,0.5489999999999999,3.4e-05,9,0.374,-10.13,0,0.0411,112.956,4,0.0899,31
Iron Reagan,39xVBnR6G9C51613yWcXDi,Paper Shredder,5.71e-06,0.20800000000000002,120454,0.92,0.102,10,0.396,-5.074,0,0.0561,161.474,4,0.0524,22
Paige,51YuzdczxzSLXnkIki08n3,Everywhere,0.00105,0.652,165039,0.6729999999999999,0.00625,7,0.552,-5.557,0,0.0359,118.04299999999999,4,0.203,32
Until The Ribbon Breaks,3XsOJBnLLbgdH8iRV9berM,Open (Home),0.823,0.446,69454,0.609,3.31e-06,2,0.45799999999999996,-13.35,1,0.243,79.173,4,0.63,20
Saib,6oV7nRogCDJ8pRZlO5gNVx,Beautiful Terrace,0.0643,0.662,176308,0.8009999999999999,0.789,8,0.134,-8.327,0,0.0479,89.959,4,0.802,29
